created_at,text
2018-12-19 23:56:30,"b'RT @noofynate: \xf0\x9f\x94\xb4LIVE on https://t.co/3cIa9bVVqy &amp; https://t.co/Gky1VNmhrL playing @FortniteGame ! Come on by,we\xe2\x80\x99d ABSOLUTELY love to have y\xe2\x80\xa6'"
2018-12-19 23:56:29,"b""RT @FastCompany: Experts from @Microsoft, @Google, @Ideo, @Pentagram, @gensler_design explain the design trends that'll shape 2019 https://\xe2\x80\xa6"""
2018-12-19 23:56:29,b'@Razer @Microsoft @Xbox This is really cool but $250? That\xe2\x80\x99s more than the cost of an original Xbox. Don\xe2\x80\x99t you thin\xe2\x80\xa6 https://t.co/sRgQdkEBsB'
2018-12-19 23:56:28,"b""@DarrenTullock Got it. Your device will automatically download the update on your eligible device if you've turned\xe2\x80\xa6 https://t.co/OtE8bwtTIz"""
2018-12-19 23:56:28,"b""RT @BradSmi: It's great to see our team provide further details on the six principles Microsoft will adopt to guide our work with #FacialRe\xe2\x80\xa6"""
2018-12-19 23:56:22,"b'RT @Johnmont: ""Az also simplifies and normalizes\xe2\x80\xafAzure PowerShell cmdlet and module names. Az ships in Azure Cloud Shell and is available f\xe2\x80\xa6'"
2018-12-19 23:56:18,b'PowerApps Canvas App Coding Standards and Guidelines- https://t.co/3Y4GInOExe  #PowerApps'
2018-12-19 23:56:17,b'@facebook @twitter  @Google @Yahoo  @Microsoft  @FBI  @DOJ  @WisDOJ  and accounts to discredit...@MarkZuckerfuck\xe2\x80\xa6 https://t.co/LghUHOxGOp'
2018-12-19 23:56:14,b'RT @USCERT_gov: Microsoft Releases Security Updates https://t.co/Zau0Lktdls #NCCIC #cyber #cybersecurity #infosec'
2018-12-19 23:56:14,b'RT @tptechgeek: for those who need (everyone!) to add security validation to CI/CD pipeline: https://t.co/Hk1qXAfQ9T #RubDevOpsOnIt #LoECDA\xe2\x80\xa6'
2018-12-19 23:56:08,b'RT @UWAcawleague: UWA SHOWDOWN tonight at 9pm est!! https://t.co/LwHbTGZCTS \n#UWA #UltimateWrestlingAlliance #UWAshowdown #WWE2K19 #XboxOne\xe2\x80\xa6'
2018-12-19 23:56:07,b'Apple gets all the hate experiencing one bug but fuck Microsoft has more \xf0\x9f\x98\x82 I hate this update'
2018-12-19 23:56:06,b'New Post from @marketingland Facebook and Microsoft respond to NYT report on data sharing - Marketing Land https://t.co/zS2xIexDx4'
2018-12-19 23:56:06,"b'@TechFirth Hi Michael, we\xe2\x80\x99re now rolling out the improved calendar sharing model, which includes viewing free/busy\xe2\x80\xa6 https://t.co/RIMIYgn9w9'"
2018-12-19 23:56:05,b'RT @gerrardnum8: Want to win a random #XboxOne code? Then RT and Follow me &amp; @SmallywoodXA to enter. *3 winners picked on Friday December 2\xe2\x80\xa6'
2018-12-19 23:56:05,b'RT @campuscodi: Microsoft Edge engineer describes how Google sabotaged Edge browser performance via constant code changes to its services.\xe2\x80\xa6'
2018-12-19 23:56:01,b'RT @WirelessLife: Windows Sandbox: a new lightweight desktop environment tailored for safely running applications in isolation https://t.co\xe2\x80\xa6'
2018-12-19 23:56:00,b'RT @Azure: Get discounted rates on #Azure to support your ongoing development and testing: https://t.co/f9QfMY9JoW'
2018-12-19 23:55:55,"b""RT @TheRegister: All jokes and sarcasm aside, please patch Internet Explorer if you're on Windows. Miscreants are exploiting a vulnerabilit\xe2\x80\xa6"""
2018-12-19 23:55:51,b'New #XboxOne #XboxInsiders Preview Alpha Ring 1902 build System Update 181217-2102 https://t.co/9DjDYFeY1g'
2018-12-19 23:55:51,"b""RT @TheRegister: All jokes and sarcasm aside, please patch Internet Explorer if you're on Windows. Miscreants are exploiting a vulnerabilit\xe2\x80\xa6"""
2018-12-19 23:55:47,b'RT @gerrardnum8: Want to win a random #XboxOne code? Then RT and Follow me &amp; @SmallywoodXA to enter. *3 winners picked on Friday December 2\xe2\x80\xa6'
2018-12-19 23:55:45,"b'RT @Razer: Built for couch and desktop gaming, we\xe2\x80\x99ve teamed up with @Microsoft to bring you the all-new Razer Turret for @Xbox One\xe2\x80\x94the worl\xe2\x80\xa6'"
2018-12-19 23:55:42,b'UAE-based bank transforms workplace with Microsoft https://t.co/JkKYa2hPMX'
2018-12-19 23:55:40,"b""@Microsoft please don't break encryption to please the Australian government. Just withdraw from the market until t\xe2\x80\xa6 https://t.co/LX9IYgHS5A"""
2018-12-19 23:55:28,b'RT @USCERT_gov: Microsoft Releases Security Updates https://t.co/Zau0Lktdls #NCCIC #cyber #cybersecurity #infosec'
2018-12-19 23:55:26,b'RT @MarkPavWT: Share the gift of AI-assisted IntelliSense recommendations with your team! https://t.co/XUFgFjctw0 #vsintellicode'
2018-12-19 23:55:24,b'New #XboxOne #XboxInsiders Preview Alpha Ring 1902 build System Update 181217-2102\nSee: https://t.co/NUGxL08oW8'
2018-12-19 23:55:21,"b'RT @technology: AI startup Graphcore has raised $200 million from investors including BMW and Microsoft, @turnergs writes https://t.co/kTsP\xe2\x80\xa6'"
2018-12-19 23:55:20,b'RT @edmundlee: It\xe2\x80\x99s worse than you thought.\n\nFacebook gave:\n-Microsoft names of users\xe2\x80\x99 friends without consent\n-Netflix and Spotify got to\xe2\x80\xa6'
2018-12-19 23:55:16,b'4 Lessons You Can Learn from Microsoft\xe2\x80\x99s Agile Workplace Experiment https://t.co/NJnzs8mRHk #officespace\xe2\x80\xa6 https://t.co/PHiAJXO7FI'
2018-12-19 23:55:15,"b'RT @BrannonZ: New @Microsoft Garage project! A 3D, first-person, Pong-styled game that uses spatial audio cues to make the game accessible\xe2\x80\xa6'"
2018-12-19 23:55:15,b'RT @destructoid: Microsoft explains why Minecraft runs at 720p on Switch https://t.co/zEKuuJxTeD https://t.co/WW5shJthTF'
2018-12-19 23:55:14,"b'RT @nytimes: NYT investigation: Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants far m\xe2\x80\xa6'"
2018-12-19 23:55:13,"b'Microsoft OOB Patch for Internet Explorer: Scripting Engine Memory Corruption Vulnerability, (Wed, Dec 19th)\xe2\x80\xa6 https://t.co/i1MifVe9TG'"
2018-12-19 23:55:12,b'Stupid Windows Update Build 1809 \xf0\x9f\x99\x84 typical problematic Microsoft \xf0\x9f\x99\x82'
2018-12-19 23:55:12,b'New post (Microsoft\xe2\x80\x99s Halo-themed prosthetic arm will make kids feel like Master Chief) has been published on Break\xe2\x80\xa6 https://t.co/ZSkzNEI6KI'
2018-12-19 23:55:10,"b""RT @maryjofoley: It's our annual ChrisCapmas holiday episode of Windows Weekly today! Join us starting at 2 pm ET December 19 with special\xe2\x80\xa6"""
2018-12-19 23:55:09,b'@Vaprrenon When did you start working for Microsoft? :P'
